Borough Name,Offence Group,Count
Havering,POSSESSION OF WEAPONS,132
Havering,PUBLIC ORDER OFFENCES,1260
Havering,ARSON AND CRIMINAL DAMAGE,1237
Havering,THEFT,3250
Havering,BURGLARY,1047
Havering,ROBBERY,330
Havering,SEXUAL OFFENCES,592
Havering,VEHICLE OFFENCES,2249
Havering,VIOLENCE AGAINST THE PERSON,5507
Hillingdon,PUBLIC ORDER OFFENCES,1926
Hillingdon,ARSON AND CRIMINAL DAMAGE,1655
Hillingdon,THEFT,4542
Hillingdon,VEHICLE OFFENCES,3591
Hounslow,VIOLENCE AGAINST THE PERSON,7956
Islington,ARSON AND CRIMINAL DAMAGE,1486
Islington,PUBLIC ORDER OFFENCES,1910
Islington,ROBBERY,1002
Islington,SEXUAL OFFENCES,578
Kensington and Chelsea,DRUG OFFENCES,1080
Kensington and Chelsea,MISCELLANEOUS CRIMES AGAINST SOCIETY,194
Kensington and Chelsea,ROBBERY,458
Kensington and Chelsea,THEFT,5595
Kingston upon Thames,MISCELLANEOUS CRIMES AGAINST SOCIETY,150
Kingston upon Thames,PUBLIC ORDER OFFENCES,788
Kingston upon Thames,THEFT,2720
Haringey,MISCELLANEOUS CRIMES AGAINST SOCIETY,302
Haringey,PUBLIC ORDER OFFENCES,1995
Harrow,BURGLARY,1077
Lambeth,ARSON AND CRIMINAL DAMAGE,2072
Lambeth,PUBLIC ORDER OFFENCES,2290
Lambeth,ROBBERY,1197
Harrow,ROBBERY,298
Lambeth,THEFT,7291
Lambeth,VEHICLE OFFENCES,2690
Harrow,MISCELLANEOUS CRIMES AGAINST SOCIETY,211
Harrow,THEFT,2618
Harrow,SEXUAL OFFENCES,426
Hammersmith and Fulham,MISCELLANEOUS CRIMES AGAINST SOCIETY,229
Hillingdon,VIOLENCE AGAINST THE PERSON,7717
Harrow,VEHICLE OFFENCES,2488
Harrow,POSSESSION OF WEAPONS,86
Lewisham,DRUG OFFENCES,1485
Harrow,VIOLENCE AGAINST THE PERSON,4641
Hounslow,BURGLARY,1438
Lewisham,VEHICLE OFFENCES,3515
Hounslow,DRUG OFFENCES,1323
Havering,DRUG OFFENCES,942
Merton,ARSON AND CRIMINAL DAMAGE,973
Hounslow,MISCELLANEOUS CRIMES AGAINST SOCIETY,382
Hounslow,POSSESSION OF WEAPONS,153
Hounslow,PUBLIC ORDER OFFENCES,1844
Merton,MISCELLANEOUS CRIMES AGAINST SOCIETY,224
Hillingdon,BURGLARY,1292
Haringey,ROBBERY,1170
Merton,THEFT,2488
Havering,MISCELLANEOUS CRIMES AGAINST SOCIETY,267
Kensington and Chelsea,POSSESSION OF WEAPONS,115
Merton,VIOLENCE AGAINST THE PERSON,4210
Kensington and Chelsea,SEXUAL OFFENCES,420
Hillingdon,DRUG OFFENCES,1520
Hillingdon,ROBBERY,405
Hillingdon,MISCELLANEOUS CRIMES AGAINST SOCIETY,959
Hillingdon,SEXUAL OFFENCES,648
Kensington and Chelsea,VEHICLE OFFENCES,2307
Hounslow,ARSON AND CRIMINAL DAMAGE,1643
Newham,ARSON AND CRIMINAL DAMAGE,2068
Kingston upon Thames,ARSON AND CRIMINAL DAMAGE,829
Kingston upon Thames,ROBBERY,148
Kingston upon Thames,SEXUAL OFFENCES,346
Newham,POSSESSION OF WEAPONS,264
Newham,PUBLIC ORDER OFFENCES,2123
Newham,SEXUAL OFFENCES,945
Kingston upon Thames,VEHICLE OFFENCES,1020
Redbridge,ARSON AND CRIMINAL DAMAGE,1528
Hounslow,THEFT,4327
Redbridge,BURGLARY,1489
Hounslow,ROBBERY,376
Kingston upon Thames,VIOLENCE AGAINST THE PERSON,3258
Hounslow,VEHICLE OFFENCES,3048
Lambeth,DRUG OFFENCES,2285
Islington,BURGLARY,1776
Hounslow,SEXUAL OFFENCES,642
Lambeth,POSSESSION OF WEAPONS,399
Lambeth,SEXUAL OFFENCES,1097
Redbridge,VIOLENCE AGAINST THE PERSON,7506
Richmond upon Thames,BURGLARY,1018
Islington,DRUG OFFENCES,1162
Richmond upon Thames,MISCELLANEOUS CRIMES AGAINST SOCIETY,126
Richmond upon Thames,PUBLIC ORDER OFFENCES,764
Richmond upon Thames,ROBBERY,192
Islington,MISCELLANEOUS CRIMES AGAINST SOCIETY,272
Hillingdon,POSSESSION OF WEAPONS,183
Richmond upon Thames,THEFT,2448
Islington,THEFT,7199
Southwark,DRUG OFFENCES,2196
Lewisham,ROBBERY,658
Islington,VEHICLE OFFENCES,2261
Kensington and Chelsea,BURGLARY,1371
Southwark,PUBLIC ORDER OFFENCES,2095
Islington,POSSESSION OF WEAPONS,174
Southwark,THEFT,8887
Kensington and Chelsea,PUBLIC ORDER OFFENCES,1348
Islington,VIOLENCE AGAINST THE PERSON,6514
Kensington and Chelsea,VIOLENCE AGAINST THE PERSON,4256
Southwark,VEHICLE OFFENCES,2800
Sutton,MISCELLANEOUS CRIMES AGAINST SOCIETY,181
Sutton,PUBLIC ORDER OFFENCES,938
Sutton,ROBBERY,222
Sutton,THEFT,2096
