Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Ealing,Vehicle Offences,4457,367115,28034,15.89855176,12.14060989,Peer
Ealing,Arson and Criminal Damage,1953,367115,28034,6.966540629,5.3198589,Peer
Ealing,Sexual Offences,753,367115,28034,2.686024114,2.051128393,Peer
Ealing,Violence Against The Person,9138,367115,28034,32.59613327,24.89138281,Peer
Ealing,Drug Offences,1611,367115,28034,5.746593422,4.388270705,Peer
Ealing,Possession Of Weapons,183,367115,28034,0.652778769,0.498481402,Peer
Enfield,Theft,4629,329984,28554,16.21138895,14.02795287,Peer
Enfield,Violence Against The Person,8873,329984,28554,31.07445542,26.88918251,Peer
Enfield,Arson and Criminal Damage,1914,329984,28554,6.703088884,5.800281226,Peer
Enfield,Possession Of Weapons,205,329984,28554,0.717937942,0.621242242,Peer
Enfield,Burglary,2128,329984,28554,7.452546053,6.448797517,Peer
Enfield,Miscellaneous Crimes Against Society,440,329984,28554,1.540939973,1.333397983,Peer
Enfield,Public Order Offences,1892,329984,28554,6.626041886,5.733611327,Peer
Enfield,Robbery,876,329984,28554,3.067871402,2.654674166,Peer
Enfield,Sexual Offences,776,329984,28554,2.717657771,2.35162917,Peer
Enfield,Drug Offences,1175,329984,28554,4.115010156,3.560778704,Peer
Enfield,Vehicle Offences,5646,329984,28554,19.77306157,17.10992048,Peer
Greenwich,Arson and Criminal Damage,1907,289068,25203,7.566559537,6.597063667,Peer
Greenwich,Drug Offences,1671,289068,25203,6.630163076,5.780646768,Peer
Greenwich,Miscellaneous Crimes Against Society,415,289068,25203,1.64662937,1.43564836,Peer
Greenwich,Public Order Offences,2039,289068,25203,8.09030671,7.053703627,Peer
Greenwich,Vehicle Offences,3012,289068,25203,11.95095822,10.41969364,Peer
Greenwich,Possession Of Weapons,260,289068,25203,1.031623219,0.899442346,Peer
Greenwich,Sexual Offences,798,289068,25203,3.166289727,2.760596123,Peer
Greenwich,Robbery,524,289068,25203,2.079117565,1.812722266,Peer
Greenwich,Burglary,1579,289068,25203,6.265127167,5.462382554,Peer
Greenwich,Violence Against The Person,8524,289068,25203,33.82137047,29.48787137,Peer
Greenwich,Theft,4474,289068,25203,17.75185494,15.47732713,Peer
Hackney,Burglary,2470,259146,30372,8.132490452,9.531306677,Peer
Hackney,Robbery,1350,259146,30372,4.444883445,5.209418629,Peer
Hackney,Public Order Offences,2159,259146,30372,7.108521006,8.331210978,Peer
Hackney,Vehicle Offences,3119,259146,30372,10.26932701,12.03568645,Peer
Hackney,Sexual Offences,856,259146,30372,2.818385355,3.303157294,Peer
Hackney,Miscellaneous Crimes Against Society,328,259146,30372,1.079942052,1.265695785,Peer
Hackney,Theft,8517,259146,30372,28.04227578,32.86564331,Peer
Hackney,Arson and Criminal Damage,1635,259146,30372,5.383247728,6.309184784,Peer
Hackney,Drug Offences,1599,259146,30372,5.264717503,6.170266954,Peer
Hackney,Violence Against The Person,8075,259146,30372,26.58698802,31.16004106,Peer
Hackney,Possession Of Weapons,264,259146,30372,0.869221652,1.018730754,Peer
Hammersmith and Fulham,Public Order Offences,1532,183157,19282,7.945233897,8.364408677,Peer
Hammersmith and Fulham,Theft,5209,183157,19282,27.01483249,28.44008146,Peer
Hammersmith and Fulham,Vehicle Offences,2360,183157,19282,12.23939425,12.88512042,Peer
Hammersmith and Fulham,Violence Against The Person,5219,183157,19282,27.06669433,28.49467943,Peer
Hammersmith and Fulham,Sexual Offences,515,183157,19282,2.670884763,2.811795345,Peer
Hammersmith and Fulham,Robbery,416,183157,19282,2.157452546,2.271275463,Peer
Hammersmith and Fulham,Burglary,1388,183157,19282,7.1984234,7.578197939,Peer
Hammersmith and Fulham,Possession Of Weapons,125,183157,19282,0.648273001,0.682474598,Peer
Hammersmith and Fulham,Arson and Criminal Damage,1208,183157,19282,6.264910279,6.595434518,Peer
Hammersmith and Fulham,Drug Offences,1081,183157,19282,5.60626491,5.902040326,Peer
Haringey,Arson and Criminal Damage,1691,264238,28274,5.980759709,6.399533754,Peer
Haringey,Burglary,2228,264238,28274,7.880031124,8.431792551,Peer
Haringey,Drug Offences,1150,264238,28274,4.06734102,4.352137089,Peer
Haringey,Possession Of Weapons,194,264238,28274,0.686142746,0.734186605,Peer
Haringey,Sexual Offences,793,264238,28274,2.804696895,3.001082358,Peer
Haringey,Theft,5709,264238,28274,20.19169555,21.60552229,Peer
Haringey,Vehicle Offences,5066,264238,28274,17.9175214,19.17210999,Peer
Haringey,Violence Against The Person,7976,264238,28274,28.20966259,30.18490906,Peer
Harrow,Drug Offences,917,261203,14695,6.240217761,3.510679433,Peer
Harrow,Public Order Offences,991,261203,14695,6.743790405,3.793983989,Peer
Harrow,Arson and Criminal Damage,942,261203,14695,6.410343654,3.606390432,Peer
Havering,Possession Of Weapons,132,262052,16813,0.785106763,0.50371682,Peer
